Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
263,Entry short,2026-05-20 12:12,Short,23579.95,1,23579.95,-50,-0.21,18.1,0.08,-50,-0.21,812.6,0.08
264,Exit long,2026-05-20 15:15,EOD Square-off,23667.55,1,23641.2,26.35,0.11,49.7,0.21,-17.95,-0.08,838.95,0.08
264,Entry long,2026-05-20 14:00,Long,23641.2,1,23641.2,26.35,0.11,49.7,0.21,-17.95,-0.08,838.95,0.08
265,Exit long,2026-05-21 11:15,L-Exit,23661.55,1,23711.55,-50,-0.21,7.35,0.03,-50,-0.21,788.95,0.08
265,Entry long,2026-05-21 11:06,Long,23711.55,1,23711.55,-50,-0.21,7.35,0.03,-50,-0.21,788.95,0.08
266,Exit short,2026-05-21 11:21,S-Exit,23693.95,1,23643.95,-50,-0.21,4.05,0.02,-50,-0.21,738.95,0.07
266,Entry short,2026-05-21 11:15,Short,23643.95,1,23643.95,-50,-0.21,4.05,0.02,-50,-0.21,738.95,0.07
267,Exit long,2026-05-21 12:27,L-Exit,23670.55,1,23720.55,-50,-0.21,25.9,0.11,-50,-0.21,688.95,0.07
267,Entry long,2026-05-21 11:24,Long,23720.55,1,23720.55,-50,-0.21,25.9,0.11,-50,-0.21,688.95,0.07
268,Exit short,2026-05-21 15:15,EOD Square-off,23635,1,23663.6,28.6,0.12,67,0.28,-41.8,-0.18,717.55,0.07
268,Entry short,2026-05-21 12:27,Short,23663.6,1,23663.6,28.6,0.12,67,0.28,-41.8,-0.18,717.55,0.07
269,Exit long,2026-05-22 14:27,Short,23739.3,1,23771.55,-32.25,-0.14,64.1,0.27,-32.45,-0.14,685.3,0.07
269,Entry long,2026-05-22 12:33,Long,23771.55,1,23771.55,-32.25,-0.14,64.1,0.27,-32.45,-0.14,685.3,0.07
