time,open,high,low,close,Up Trend,Down Trend,Up Trend,Down Trend,VWAP,Histogram,MACD,Signal line
2026-04-02T14:55:00+05:30,22659.1,22667.15,22641.65,22656.8,,22691.32121399599,22551.10920842808,,22362.208312154064,-3.548846390849917,70.97948228854511,74.52832867939503
2026-04-02T15:00:00+05:30,22658.3,22697.35,22650.8,22688.75,,22691.32121399599,22551.10920842808,,22378.25811116641,-2.4160108154773354,71.50831516004837,73.9243259755257
2026-04-02T15:05:00+05:30,22689.85,22747.35,22686.95,22746.65,22627.070309505183,,22569.593289575107,,22392.96449146843,1.4417686217450694,75.72653675270703,74.28476813096196
2026-04-02T15:10:00+05:30,22748.7,22761.95,22733.5,22760.4,22659.30429402992,,22606.388960617594,,22406.50831360829,3.9844229679840453,79.26529684094203,75.28087387295798
2026-04-02T15:15:00+05:30,22762.6,22782.3,22715.6,22718.15,22659.30429402992,,22606.388960617594,,22420.24966168833,1.98662176333616,77.76415107712819,75.77752931379203
2026-04-02T15:20:00+05:30,22717.65,22724.35,22673.6,22689.15,22659.30429402992,,22606.388960617594,,22430.513730539176,-1.911264844275891,73.38844825844717,75.29971310272306
2026-04-02T15:25:00+05:30,22690.45,22711.5,22678.5,22700.25,22659.30429402992,,22606.388960617594,,22437.27060510204,-4.23231003649768,70.00932555710096,74.24163559359864
2026-04-06T09:15:00+05:30,22788.95,22798.25,22591.7,22666.05,22659.30429402992,,22606.388960617594,,22685.333333333332,-8.324642433981552,63.83583255112171,72.16047498510326
2026-04-06T09:20:00+05:30,22671.3,22714.35,22646.7,22653.55,,22784.950627781098,22606.388960617594,,22680.682662761963,-11.908839660801618,57.27442540910124,69.18326506990286
2026-04-06T09:25:00+05:30,22657.25,22661.95,22602.2,22609.05,,22740.23930699382,22606.388960617594,,22669.384907415282,-17.001680653294443,47.931164253284805,64.93284490657925
2026-04-06T09:30:00+05:30,22604.85,22684.85,22596.5,22681.05,,22740.23930699382,22606.388960617594,,22666.769091288512,-15.29962708642379,45.80831104854951,61.1079381349733
2026-04-06T09:35:00+05:30,22681.7,22746.9,22678.2,22704.35,,22740.23930699382,22606.388960617594,,22674.476595997836,-12.500938992207814,45.48176439471354,57.98270338692135
2026-04-06T09:40:00+05:30,22704.85,22714.35,22602.2,22620.2,,22740.23930699382,22606.388960617594,,22670.771492126023,-15.99032928466832,37.99479178108595,53.98512106575427
2026-04-06T09:45:00+05:30,22621.5,22636.35,22589.9,22589.9,,22730.29983719838,,22818.354189923906,22665.542850254842,-19.765019292972212,29.278846949539002,49.043866242511214
2026-04-06T09:50:00+05:30,22588.15,22603.25,22567.85,22573,,22700.40609533846,,22780.876270931516,22659.66621757781,-22.620448976196293,20.76830502226585,43.38875399846214
2026-04-06T09:55:00+05:30,22571.1,22586.55,22566.65,22569.3,,22687.70329057154,,22758.363643838362,22655.374591940064,-23.856068013068246,13.568668982126837,37.42473699519508
2026-04-06T10:00:00+05:30,22569.1,22591.6,22561.9,22589.6,,22685.268126042964,,22749.24727945453,22650.933869136403,-22.425651189865043,9.392673007863777,31.81832419772882
2026-04-06T10:05:00+05:30,22590.45,22632.05,22586,22614.95,,22685.268126042964,,22749.24727945453,22649.108085116,-19.025807755208593,8.03606450371808,27.061872258926673
2026-04-06T10:10:00+05:30,22615.85,22656.8,22597.25,22654.85,,22685.268126042964,,22749.24727945453,22648.203038708325,-13.597880612496116,10.064521493306529,23.662402105802645
2026-04-06T10:15:00+05:30,22659.8,22679.7,22613.3,22638.6,,22685.268126042964,,22749.24727945453,22647.958953394813,-10.735700305008006,10.242776724542637,20.978477029550643
2026-04-06T10:20:00+05:30,22639.5,22662.8,22637,22640.55,,22685.268126042964,,22749.24727945453,22647.916347385446,-8.445770314227158,10.421264136766695,18.867034450993852
2026-04-06T10:25:00+05:30,22638.35,22645,22591.3,22634.45,,22685.268126042964,,22749.24727945453,22646.780983819233,-7.129040224453,9.955734170427604,17.084774394880604
2026-04-06T10:30:00+05:30,22634.05,22640.4,22598.85,22636.8,,22685.268126042964,,22749.24727945453,22646.223405415505,-5.935810361727562,9.665011442721152,15.600821804448714
2026-04-06T10:35:00+05:30,22637.7,22661.85,22634.45,22661,,22685.268126042964,,22749.24727945453,22646.45579981087,-3.4745942629180497,11.257578975801152,14.732173238719202
2026-04-06T10:40:00+05:30,22661.7,22662.65,22627.3,22653.5,,22685.268126042964,,22749.24727945453,22646.501622813143,-2.3627506110338263,11.77873497492692,14.141485585960746
2026-04-06T10:45:00+05:30,22653.95,22663.25,22641.15,22657,,22685.268126042964,,22749.24727945453,22646.734382211136,-1.447572660087129,12.332019760851836,13.779592420938965
2026-04-06T10:50:00+05:30,22657.3,22669.2,22610.25,22617.4,,22685.268126042964,,22749.24727945453,22646.148929918858,-3.450878100525321,9.465994795282313,12.916872895807634
2026-04-06T10:55:00+05:30,22618.7,22651.3,22609.6,22635.85,,22685.268126042964,,22749.24727945453,22645.704412310184,-3.4659351749208476,8.584453927156574,12.050389102077421
2026-04-06T11:00:00+05:30,22635.6,22635.8,22587.85,22590.05,,22685.268126042964,,22749.24727945453,22644.33398825398,-6.326392708467987,4.142398216492438,10.468790924960425
2026-04-06T11:05:00+05:30,22590.3,22603.3,22577.4,22588.55,,22685.268126042964,,22725.2815905514,22642.744631498572,-7.978800578853299,0.4952902013938001,8.4740907802471
