time,open,high,low,close,WMA44 (15m),Long,Short
2026-06-02T10:45:00+05:30,23352.35,23352.35,23281.55,23300.35,23450.71949494949,0,0
2026-06-02T11:00:00+05:30,23301.15,23314.65,23293,23310.3,23440.634444444448,0,0
2026-06-02T11:15:00+05:30,23309.65,23363.95,23295.85,23340.3,23432.427777777775,0,0
2026-06-02T11:30:00+05:30,23340.45,23344.5,23290.5,23298,23422.843383838386,0,0
2026-06-02T11:45:00+05:30,23298.3,23310.7,23280.75,23283.5,23413.09055555556,0,0
2026-06-02T12:00:00+05:30,23284.1,23304.4,23276.6,23279.8,23403.67035353535,0,0
2026-06-02T12:15:00+05:30,23279.3,23297.35,23270.95,23274.85,23394.528737373737,0,0
2026-06-02T12:30:00+05:30,23274.75,23374.6,23271.45,23371.55,23390.172575757573,0,0
2026-06-02T12:45:00+05:30,23371.3,23470.8,23370.6,23457.95,23390.03308080808,0,0
2026-06-02T13:00:00+05:30,23456.9,23499.25,23438.4,23473.75,23390.901010101017,0,0
2026-06-02T13:15:00+05:30,23474.25,23503.65,23456.8,23502.95,23393.382222222226,0,0
2026-06-02T13:30:00+05:30,23502.7,23535.05,23492.6,23500.35,23396.021010101013,0,0
2026-06-02T13:45:00+05:30,23500.5,23530.05,23500.25,23514.8,23399.33065656565,0,0
2026-06-02T14:00:00+05:30,23515.15,23546.8,23512.45,23539.5,23403.83353535353,0,0
2026-06-02T14:15:00+05:30,23539.65,23556.95,23510.45,23516.7,23407.377070707076,0,0
2026-06-02T14:30:00+05:30,23516.75,23535.3,23443.95,23453,23408.150101010106,0,0
2026-06-02T14:45:00+05:30,23452.35,23480.3,23432.8,23441.2,23408.50858585858,0,0
2026-06-02T15:00:00+05:30,23441.55,23500.15,23422.65,23490,23411.14904040404,0,0
2026-06-02T15:15:00+05:30,23489.8,23525.7,23488.55,23520.7,23415.204292929287,0,0
2026-06-03T09:15:00+05:30,23433.35,23447.65,23265.25,23292.7,23409.14393939394,0,0
2026-06-03T09:30:00+05:30,23293.5,23299.8,23244.45,23268.95,23402.30787878788,0,0
2026-06-03T09:45:00+05:30,23269.05,23299.55,23225.5,23252.65,23395.08803030303,0,0
2026-06-03T10:00:00+05:30,23253.15,23287.4,23232.75,23240.5,23387.637777777778,0,0
2026-06-03T10:15:00+05:30,23240.45,23283.2,23228.95,23246.3,23380.75792929293,0,0
2026-06-03T10:30:00+05:30,23247,23255.3,23212.1,23227.15,23373.276919191918,0,0
2026-06-03T10:45:00+05:30,23227.55,23244.25,23217.1,23226.05,23366.05292929293,0,0
2026-06-03T11:00:00+05:30,23227.25,23233,23194.8,23202.85,23358.09166666667,0,0
2026-06-03T11:15:00+05:30,23203.6,23244.85,23198.8,23215.85,23351.024343434343,0,0
2026-06-03T11:30:00+05:30,23216.95,23234.75,23202.6,23214.2,23344.18429292929,0,0
2026-06-03T11:45:00+05:30,23215.05,23225.9,23191.4,23192.25,23336.61762626263,0,0
2026-06-03T12:00:00+05:30,23193.25,23202.75,23151.5,23180.7,23328.831818181818,0,0
2026-06-03T12:15:00+05:30,23181.25,23241.65,23176.55,23235.45,23323.784646464646,0,0
2026-06-03T12:30:00+05:30,23236.35,23347.55,23236.2,23323,23322.851666666666,0,0
2026-06-03T12:45:00+05:30,23325.15,23331.55,23271.95,23283.3,23320.24914141414,0,0
2026-06-03T13:00:00+05:30,23284.2,23305.95,23275.05,23298.35,23318.42833333333,0,0
2026-06-03T13:15:00+05:30,23302.95,23349.75,23300.3,23345,23318.8,0,0
2026-06-03T13:30:00+05:30,23345.95,23352.8,23316.4,23320.6,23318.116212121215,0,0
