symbol,company_name,market_cap_cr
SPLPETRO,Supreme Petrochem Ltd,13904
CCL,CCL Products (India) Ltd,13864
EIDPARRY,EID Parry (India) Ltd,13789
KSB,KSB Ltd,13788
IGIL,International Gemological Institute Limited,13743
VGUARD,V-Guard Industries Ltd,13740
VINATIORGA,Vinati Organics Ltd,13691
THELEELA,Leela Palaces Hotels & Resorts Ltd,13625
KEC,KEC International Ltd,13620
CHOICEIN,Choice International Ltd,13616
ZYDUSWELL,Zydus Wellness Ltd,13557
KANSAINER,Kansai Nerolac Paints Ltd,13509
PGEL,PG Electroplast Ltd,13427
CANHLIFE,Canara HSBC Life Insurance Company Ltd,13338
TDPOWERSYS,TD Power Systems Ltd,13293
SHRIPISTON,Shriram Pistons & Rings Ltd,13275
,RRP Semiconductor Ltd,13265
GALLANTT,Gallantt Ispat Ltd.,13255
CEATLTD,CEAT Ltd,13115
FRACTAL,Fractal Analytics Ltd,13087
ECLERX,eClerx Services Ltd,13053
INOXWIND,Inox Wind Ltd,13034
APLLTD,Alembic Pharmaceuticals Ltd,13010
JUBLPHARMA,Jubilant Pharmova Ltd,13006
NIVABUPA,Niva Bupa Health Insurance Company Ltd,12954
SANSERA,Sansera Engineering Ltd,12937
JSWDULUX,JSW Dulux Ltd,12937
IFCI,IFCI Ltd,12919
AGARWALEYE,Dr Agarwals Health Care Ltd,12867
VENTIVE,Ventive Hospitality Ltd,12817
LMW,LMW Ltd,12761
RUBICON,Rubicon Research Ltd,12727
SOBHA,Sobha Ltd,12682
MAHSCOOTER,Maharashtra Scooters Ltd,12674
LTFOODS,L T Foods Ltd,12612
JSWHL,JSW Holdings Ltd,12565
ABREL,Aditya Birla Real Estate Ltd,12533
TEGA,Tega Industries Ltd,12440
SAMMAANCAP,Sammaan Capital Ltd,12389
ARE&M,Amara Raja Energy & Mobility Ltd,12312
JBMA,JBM Auto Ltd,12187
J&KBANK,Jammu and Kashmir Bank Ltd,12113
MINDACORP,Minda Corporation Ltd,12112
FINEORG,Fine Organic Industries Ltd,12103
POLYMED,Poly Medicure Ltd,12070
GRAPHITE,Graphite India Ltd,12046
UTIAMC,UTI Asset Management Company Ltd,12045
ALIVUS,Alivus Life Sciences Ltd,11957
INDIAMART,Indiamart Intermesh Ltd,11921
USHAMART,Usha Martin Ltd,11906
FINCABLES,Finolex Cables Ltd,11866
GABRIEL,Gabriel India Ltd,11858
RAINBOW,Rainbow Childrens Medicare Ltd,11814
JINDALSAW,Jindal Saw Ltd,11719
ZENSARTECH,Zensar Technologies Ltd,11707
DEVYANI,Devyani International Ltd,11651
COHANCE,Cohance Lifesciences Ltd,11550
ZENTEC,Zen Technologies Ltd,11538
TRIDENT,Trident Ltd,11486
TBOTEK,TBO Tek Ltd,11484
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp Ltd,11480
TECHNOE,Techno Electric & Engineering Company Ltd,11458
CAPLIPOINT,Caplin Point Laboratories Ltd,11441
BEML,BEML Ltd,11391
ABDL,Allied Blenders & Distillers Ltd,11318
PRIVISCL,Privi Speciality Chemicals Ltd,11312
BLUEDART,Blue Dart Express Ltd,11234
CUPID,Cupid Ltd,11181
PARADEEP,Paradeep Phosphates Ltd,11134
INGERRAND,Ingersoll-Rand (India) Ltd,11044
CMPDI,Central Mine Planning & Design Institute Ltd,10999
JKTYRE,JK Tyre & Industries Ltd,10991
HAPPYFORGE,Happy Forgings Ltd,10924
FIRSTCRY,Brainbees Solutions Ltd,10880
JMFINANCIL,JM Financial Ltd,10860
IRCON,Ircon International Ltd,10849
ABLBL,Aditya Birla Lifestyle Brands Ltd,10747
MTARTECH,MTAR Technologies Ltd,10671
INDIACEM,India Cements Ltd,10670
INOXINDIA,Inox India Ltd,10644
CONCORDBIO,Concord Biotech Ltd,10628
THANGAMAYL,Thangamayil Jewellery Ltd,10628
KIRLOSBROS,Kirloskar Brothers Ltd,10625
CANFINHOME,Can Fin Homes Ltd,10568
BLACKBUCK,Blackbuck Ltd,10481
INDGN,Indegene Ltd,10468
HEG,HEG Ltd,10466
WELSPUNLIV,Welspun Living Ltd,10436
FIVESTAR,Five-Star Business Finance Ltd,10409
HFCL,HFCL Ltd,10394
LUMAXTECH,Lumax Auto Technologies Ltd,10383
TI,Tilaknagar Industries Ltd,10285
GODREJAGRO,Godrej Agrovet Ltd,10277
SKFINDUS,SKF India (Industrial) Ltd,10274
ENGINERSIN,Engineers India Ltd,10257
SCI,Shipping Corporation of India Ltd,10238
IEX,Indian Energy Exchange Ltd,10228
JWL,Jupiter Wagons Ltd,10174
OLAELEC,Ola Electric Mobility Ltd,10066
MEDPLUS,Medplus Health Services Ltd,10058
BALRAMCHIN,Balrampur Chini Mills Ltd,10047
NUVOCO,Nuvoco Vistas Corporation Ltd,10041
WHIRLPOOL,Whirlpool of India Ltd,10027
